#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
6600,13.200000000001078,-128669.88757078012,299.2953729176575
6700,13.400000000001144,-129267.05715803898,303.9145257009729
6800,13.600000000001211,-128873.03263220945,298.8002506367019
6900,13.800000000001278,-128548.8764283537,298.2653475848486
7000,14.000000000001345,-128723.76948960451,302.94286566918197
7100,14.200000000001411,-128593.19266753468,299.59974983804426
7200,14.400000000001478,-128712.6723567357,302.8570268391791
7300,14.600000000001545,-128710.06609855148,301.89691189132094
7400,14.800000000001612,-128789.8357274339,301.351284062643
7500,15.000000000001679,-128493.59916931158,298.495696834869
7600,15.200000000001745,-128530.33036072482,298.61736094509973
7700,15.400000000001812,-128667.96363091047,302.7241141015839
7800,15.600000000001879,-128411.42625426699,300.8684114612509
7900,15.800000000001946,-128562.088778865,306.6267271119384
8000,16.00000000000201,-128533.38013831215,301.8911240714617
8100,16.2000000000019,-128522.1530470531,296.05937935380626
8200,16.40000000000179,-129094.72854157761,300.6613537886068
8300,16.60000000000168,-128903.57981428601,297.2025679047188
8400,16.800000000001567,-129094.07205120225,297.4734568234081
8500,17.000000000001457,-129205.02343984557,303.07176810347397
8600,17.200000000001346,-129116.68740549998,297.8132669700822
8700,17.400000000001235,-129292.92232502822,300.9708470658496
8800,17.600000000001124,-129171.00224527615,297.48833147075624
8900,17.800000000001013,-129178.26190804916,296.2143606002001
9000,18.000000000000902,-129386.66332067773,300.62941275795373
9100,18.20000000000079,-129106.39596558284,295.29019814921935
9200,18.40000000000068,-129199.08174608421,294.40523611091936
9300,18.60000000000057,-129222.40158750255,296.8240118397701
9400,18.80000000000046,-129553.25054914661,299.6514534330251
9500,19.000000000000348,-129168.02365557161,298.79708775462257
9600,19.200000000000237,-129603.46938775884,304.3335268930632
9700,19.400000000000126,-129230.15579270513,297.9916013025202
9800,19.600000000000016,-129446.31424935267,298.6330307339403
9900,19.799999999999905,-129629.34814294238,301.48443551182777
10000,19.999999999999794,-129773.39655592231,301.5721362388712
