#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,-148342.05311512,54.70997239979164
200,0.4000000000000003,-145409.45437759024,99.53806674246044
300,0.6000000000000004,-142952.5397526793,136.60892959964735
400,0.8000000000000006,-141027.81282034417,168.3901162676621
500,1.0000000000000007,-139171.7204082243,189.4654928940766
600,1.2000000000000008,-137774.83789433198,207.53677792097992
700,1.400000000000001,-136355.51751755687,220.01891269857583
800,1.6000000000000012,-135341.98128957645,233.2214485458293
900,1.8000000000000014,-134673.45260446958,249.6907692130078
1000,2.0000000000000013,-133739.40244884774,251.55447429153338
