#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
4200,8.399999999999475,-129645.56451305051,311.60600213535497
4300,8.599999999999541,-129008.44156276436,302.57430303765955
4400,8.799999999999608,-129110.36558917156,299.7110559795271
4500,8.999999999999675,-129680.61447943804,302.13827210041995
4600,9.199999999999742,-129423.26516846429,299.50577136207386
4700,9.399999999999809,-129641.77050599383,304.66419992424915
4800,9.599999999999875,-129558.72570660865,296.43047744985137
4900,9.799999999999942,-129948.01211245016,296.6337311121483
5000,10.000000000000009,-129721.78600517807,293.18636638389484
5100,10.200000000000076,-129826.10055429429,298.10868904654006
5200,10.400000000000142,-129672.33127214496,301.4202348860243
5300,10.60000000000021,-129692.96696795212,300.61655694643025
5400,10.800000000000276,-129757.05313773216,300.85254131266066
5500,11.000000000000343,-129566.25334369566,295.0783266753288
5600,11.20000000000041,-129840.6274620684,298.20920937527563
5700,11.400000000000476,-129943.41557911524,296.8817787582467
5800,11.600000000000543,-130317.63643059526,300.7929118069367
5900,11.80000000000061,-130005.40112329012,297.7187198403418
6000,12.000000000000677,-130125.5206259724,300.73707163711555
6100,12.200000000000744,-129955.9544661066,301.2773951751852
6200,12.40000000000081,-129947.31978010923,303.1103599044476
6300,12.600000000000877,-129788.55004165096,299.77307472567134
6400,12.800000000000944,-129616.09819611248,298.5946869403065
6500,13.00000000000101,-130183.30308971758,304.09197959541837
6600,13.200000000001078,-129886.30628981833,300.2849222799077
6700,13.400000000001144,-129878.2826472918,302.3051417855356
6800,13.600000000001211,-129982.40074358977,298.2291103666067
6900,13.800000000001278,-129758.09475972468,297.4778814065203
7000,14.000000000001345,-129816.91432423542,295.9064071974369
7100,14.200000000001411,-130337.3104598391,299.46056087300263
7200,14.400000000001478,-130110.09611579914,295.9353335062493
7300,14.600000000001545,-130253.42497812553,304.0642533839169
7400,14.800000000001612,-129822.82075015087,299.6392415556036
7500,15.000000000001679,-129854.1906190284,297.6787804881054
7600,15.200000000001745,-129777.31806754124,294.6856890435876
7700,15.400000000001812,-129826.8584603726,302.6089497481307
7800,15.600000000001879,-129633.25319124568,299.12423452092673
7900,15.800000000001946,-129577.03709160897,299.7723118271574
8000,16.00000000000201,-129941.83581560517,305.50970973122713
8100,16.2000000000019,-129466.93337245165,301.150616580217
8200,16.40000000000179,-129509.2953731831,297.4879249786137
8300,16.60000000000168,-129572.32461697189,295.31963816129667
8400,16.800000000001567,-130018.41792709591,301.13112450458766
8500,17.000000000001457,-129907.90376666874,299.6244686554089
8600,17.200000000001346,-129830.18696526892,297.3641427617236
8700,17.400000000001235,-130002.57470536766,299.09387818836854
8800,17.600000000001124,-130496.87560142158,303.3411829590535
8900,17.800000000001013,-130115.68371354205,299.69044110921106
9000,18.000000000000902,-130725.37983055788,302.7668726730497
9100,18.20000000000079,-130288.21443592306,301.88290412035207
9200,18.40000000000068,-130458.315740529,304.781116581791
9300,18.60000000000057,-130673.23712380914,308.233513328874
9400,18.80000000000046,-129776.49358307138,296.30270217504795
9500,19.000000000000348,-130201.99843994716,302.55170682521464
9600,19.200000000000237,-130345.36251920294,301.23299487893127
9700,19.400000000000126,-130045.18884764375,296.4357563628318
9800,19.600000000000016,-130262.64575821886,301.69006953779535
9900,19.799999999999905,-130488.91234157242,308.73834503249907
10000,19.999999999999794,-129877.40262248389,304.32006582264506
